,Provision or Clause,Effective Date,Prescribed In,P or C,html_text
0,52.202-1 Definitions.,Jun 2020,2.201,C,"
Insert the clause at 52.202-1, Definitions, in solicitations and contracts that exceed the simplified acquisition threshold.

"
1,52.203-2 Certificate of Independent Price Determination.,Apr 1985,3.103-1,P,"
The contracting officer shall insert the provision at 52.203-2, Certificate of Independent Price Determination, in solicitations when a firm-fixed-price contract or fixed-price contract with economic price adjustment is contemplated, unless-
     
(a)
                  
						            The acquisition is to be made under the simplified acquisition procedures in part  13;
     
(b)
                  
						            [Reserved]
     
(c)
                  
						            The solicitation is a request for technical proposals under two-step sealed bidding procedures; or
     
(d)
                  
						            The solicitation is for utility services for which rates are set by law or regulation.
"
2,52.203-3 Gratuities.,Apr 1984,3.202,C,"
The contracting officer shall insert the clause at 52.203-3, Gratuities, in solicitations and contracts with a value exceeding the simplified acquisition threshold, except those for personal services and those between military departments or defense agencies and foreign governments that do not obligate any funds appropriated to the Department of Defense.
"
3,52.203-5 Covenant Against Contingent Fees.,May 2014,3.404,C,"
The contracting officer shall insert the
clause at 52.203-5, Covenant Against
Contingent Fees, in all solicitations and contracts exceeding the
simplified acquisition threshold, other than those for commercial products or
commercial services (see parts  2 and 12).
"
4,52.203-6 Restrictions on Subcontractor Sales to the Government.,Jun 2020,3.503-2,C,"
The contracting officer shall insert the
clause at 52.203-6, Restrictions
on Subcontractor Sales to the Government, in solicitations and contracts
exceeding the simplified acquisition threshold. For the acquisition
of commercial products
or commercial services, the contracting officer shall use the
clause with its Alternate I.
"
5,52.203-6_Alternate I,Nov 2021,3.503-2,C,"
The contracting officer shall insert the
clause at 52.203-6, Restrictions
on Subcontractor Sales to the Government, in solicitations and contracts
exceeding the simplified acquisition threshold. For the acquisition
of commercial products
or commercial services, the contracting officer shall use the
clause with its Alternate I.
"
6,52.203-7 Anti-Kickback Procedures.,Jun 2020,3.502-3,C,"
The contracting officer shall insert the
clause at 52.203-7, Anti-Kickback
Procedures, in solicitations and contracts exceeding $150,000, other
than those for commercial
products or commercial services (see part  12).
"
7,"52.203-8 Cancellation, Rescission, and Recovery of Funds for Illegal or Improper Activity.",May 2014,3.104-9(a),C,"
In solicitations
and contracts that exceed the simplified acquisition threshold,
other than those for commercial products or commercial services,
insert the clauses at—
     
(a)
52.203-8, Cancellation,
Rescission, and Recovery of Funds for Illegal or Improper Activity;
and
     
(b)
52.203-10, Price or Fee
Adjustment for Illegal or Improper Activity.
"
8,52.203-10 Price or Fee Adjustment for Illegal or Improper Activity.,May 2014,3.104-9(b),C,"
In solicitations
and contracts that exceed the simplified acquisition threshold,
other than those for commercial products or commercial services,
insert the clauses at—
     
(a)
52.203-8, Cancellation,
Rescission, and Recovery of Funds for Illegal or Improper Activity;
and
     
(b)
52.203-10, Price or Fee
Adjustment for Illegal or Improper Activity.
"
9,52.203-11 Certification and Disclosure Regarding Payments to Influence Certain Federal Transactions.,Sept 2007,3.808(a),P,"
     
(a)
                  
						            Insert the provision at 52.203-11, Certification and Disclosure Regarding Payments to Influence Certain Federal Transactions, in solicitations expected to exceed $150,000.
     
(b)
                  
						            Insert the clause at 52.203-12, Limitation on Payments to Influence Certain Federal Transactions, in solicitations and contracts expected to exceed $150,000.
"
10,52.203-12 Limitation on Payments to Influence Certain Federal Transactions.,Jun 2020,3.808(b),C,"
     
(a)
                  
						            Insert the provision at 52.203-11, Certification and Disclosure Regarding Payments to Influence Certain Federal Transactions, in solicitations expected to exceed $150,000.
     
(b)
                  
						            Insert the clause at 52.203-12, Limitation on Payments to Influence Certain Federal Transactions, in solicitations and contracts expected to exceed $150,000.
"
11,52.203-13 Contractor Code of Business Ethics and Conduct.,Nov 2021,3.1004(a),C,"
     
(a) Insert the clause at FAR 52.203-13, Contractor
Code of Business Ethics and Conduct, in solicitations and contracts if
the value of the contract is expected to exceed $6 million and the
performance period is 120 days or more.
     
(b)


(1) Unless
the contract is for the acquisition of a commercial product or commercial
service or will be performed entirely outside the United States,
insert the clause at 
                           52.203-14, Display
of Hotline Poster(s), if–
               
(i) The contract exceeds $6 million
or a lesser amount established by the agency; and
               
(ii)


(A) The
agency has a fraud hotline poster; or
                    
(B) The contract
is funded with disaster assistance funds.
          
(2) In paragraph
(b)(3) of the clause, the contracting officer shall–
               
(i) Identify
the applicable posters; and
               
(ii) Insert
the website link(s) or other contact information for obtaining the
agency and/or Department of Homeland Security poster.
          
(3) In paragraph
(d) of the clause, if the agency has established policies and procedures
for display of the OIG fraud hotline poster at a lesser amount,
the contracting officer shall replace "" $6 million "" with the lesser
amount that the agency has established.
"
